Tanggal Masuk,No Inventaris,Penyusun,Judul Buku,Penerbit,Kota Terbit,Tahun Terbit,Call Number Klasifikasi,Call Number Penyusun,Call Number Klasifikasi Judul,Asal,Eks,Status
11-05-2023,714-715/SMPN3 KDR/2023,RENY SUKMAWANI,BERTANAM TANPA TANAH HIDROPONIK,PANCA ANUGRAH SAKTI,TANGERANG,2010,581,REN,BER ,DAK203,2,BAIK
11-05-2023,716-717/SMPN3 KDR/2023,MUHAMMAD RAHMAN,IKATAN KIMIA,MITRA UTAMA,BEKASI,2008,541.2,MUH,IKA,DAK203,2,BAIK
11-05-2023,718-719/SMPN3 KDR/2023,EMMA SAIDAH ZHAFIRA,"SERI IPA DAN TEKNOLOGI WAKTU, PANJANG, DAN BERAT",MEDIA KOMUNIKASI,,2007,530.02,EMM,SER,DAK203,2,BAIK
11-05-2023,720-721/SMPN3 KDR/2023,SALLY HEWITT,KEHIDUPAN BINATANG,GADING INTI PRIMA,JAKARTA,2010,590,SAL,KEH,DAK203,2,BAIK
11-05-2023,720-721/SMPN3 KDR/2023,IYAM,KEANEKARAGAMAN BIOTA LAUT,TITIAN ILMU,BANDUNG,2006,597,IYA,KEA,DAK203,2,BAIK
11-05-2023,722-723/SMPN3 KDR/2023,AYUDIYAH PITALOKA,"SUNGAI,LAUT,DAN BUMI KITA",GADING INTI PRIMA,JAKARTA,2010,551.48,AYU,SUN,DAK203,2,BAIK
11-05-2023,724-725/SMPN3 KDR/2023,P. HERU SUSILA,BENCANA ALAM GEOLOGI,PUSTAKA TIGA KELANA,,2009,551,HER,BEN,DAK203,2,BAIK
11-05-2023,726-727/SMPN3 KDR/2023,M.GHUFRAN H.KORDI K.,KUALITAS AIR UNTUK BUDI DAYA UDANG WINDU,PERCA,JAKARTA,2007,595,GHU,KUA,DAK203,2,BAIK
11-05-2023,728-730/SMPN3 KDR/2023,DARIS EFFENDI,KEAJAIBAN JAGAD RAYA DAN BUMI,VISINDO MEDIA PERSADA,JAKARTA,2007,523.1,DAR,KEA,DAK203,3,BAIK
11-05-2023,728-730/SMPN3 KDR/2023,"HERI SUCITRO,S.PD.",KEKAYAAN SUMBER DAYA INDONESIA,ERA PUSTAKA UTAMA,SURAKARTA,2008,501.9,HER,KEK,DAK203,2,BAIK
11-05-2023,731-734/SMPN3 KDR/2023,SENIA JULIANTI RASYA SALSABILA,BERANEKA RAGAM MAMALIA,SANDIARTA SUKSES,,2009,599,SEN,BER,DAK203,4,BAIK
11-05-2023,735-736/SMPN3 KDR/2023,STEVE SETFORD,ULAR DAN REPTILIA LAIN,ERLANGGGA,JAKARTA,2005,597.9,STE,ULA,DAK203,2,BAIK
11-05-2023,737-739/SMPN3 KDR/2023,SIGIT PURWANTO,POCKET MENTOR  MANAJAMEN WAKTU,ERLANGGA ,,2006,501,SIG,POC,DAK203,3,BAIK
11-05-2023,740-741/SMPN3 KDR/2023,BARBARA TAYLOR,"BATUAN MINERAL, DAN FOSIL",ERLANGGA FOR KIDS,,2005,549.9,BAR,BAT,DAK203,2,BAIK
11-05-2023,742-743/SMPN3 KDR/2023,NENI SUHAENI,KIAT MEMILIH DAN MEMELIHARA BURUNG OCEHAN,BINA MUDA KREASI,,2005,590.7,NEN,KIA,DAK203,2,BAIK
11-05-2023,744-745/SMPN3 KDR/2023,M.GHUFRAN H. KORDI K.,"PAKAN IKAN FORMULASI,PEMBUATAN DAN PEMBERIAN",PERCA,JAKARTA,2004,597,GHU,PAK,DAK203,2,BAIK
11-05-2023,746-747/SMPN3 KDR/2023,KUSNO WALUYO,BUDIDAYA JANGKRIK & ULAT SUTRA,EPSILON GRUP,BANDUNG,2008,581,KUS,BUD,DAK203,2,BAIK
11-05-2023,746-747/SMPN3 KDR/2023,KUSNO WALUYO,BUDIDAYA COKLAT,EPSILON GRUP,BANDUNG,2008,581,KUS,BUD,DAK203,2,BAIK
11-05-2023,748-749/SMPN3 KDR/2023,RAHMA MARGA JAYA,GEMPA BUMI,AZKA MULIA MEDIA,JAKARTA,2006,551.2,RAH,GEM,DAK203,2,BAIK
11-05-2023,750-756/SMPN3 KDR/2023,DADAN AHMAD S. ,MENGENAL IKAN AIR TAWAR,NUANSA CITRA GRAFIKA,BANDUNG,2006,597,DAD,MEN,DAK203,7,BAIK
11-05-2023,757-758/SMPN3 KDR/2023,BAETI SUHARTI,AYO MENGENAL MATAHARI,PANCA ANUGRAH SAKTI,TANGERANG,2010,523.7,BAE,AYO,DAK203,2,BAIK
11-05-2023,759-763/SMPN3 KDR/2023,EDY KARSONO,PANTAI DAN KEHIDUPANNYA,INDAHJAYA ADIPRATAMA,,2011,574.9,EDY,PAN ,DAK203,5,BAIK
11-05-2023,764-765/SMPN3 KDR/2023,MARENA CINDO,MISTERY THE BATTOM OF THE SEA,SKETSA AKSARA LALITYA,JAKARTA,2010,597,MAR,MIS,DAK203,2,BAIK
11-05-2023,766-767/SMPN3 KDR/2023,IR.M. HIDAYATUL MUTTAQIEN,PELUANG USAHA BUDI DAYA LOBSTER AIR TAWAR,TITIAN ILMU,BANDUNG,2009,595,HID,PEL,DAK203,2,BAIK
11-05-2023,768-769/SMPN3 KDR/2023,TSURAYYA,HEWAN BERSEL SATU DAN HEWAN BERPORI,SANDIARTA SUKSES,,2009,597.6,TSU,HEW,DAK203,2,BAIK
11-05-2023,770-771/SMPN3 KDR/2023,MORENA CINDO,MOUNTAIN,SKETSA AKSARA LALITYA,JAKARTA,2010,551.43,MOR,MOU,DAK203,2,BAIK
11-05-2023,770-771/SMPN3 KDR/2023,SOFYAN KERTAWIJAYA,MENGENAL STATISTIKA,GRAHA BANDUNG KENCANA,BANDUNG,2009,519.5,SOF,MEN,DAK203,2,BAIK
11-05-2023,772-773/SMPN3 KDR/2023,KUSNO WALUYO,BUDIDAYA MANGGA,EPSILON GROUP,BANDUNG,2008,581,KUS,BUD,DAK203,2,BAIK
11-05-2023,774-775/SMPN3 KDR/2023,SURYANINGSIH,MEMAHAMI TEKNOLOGI POPULER,GRAHA BANDUNG KENCANA,BANDUNG,2009,530.1,SUR,MEM,DAK203,2,BAIK
11-05-2023,776-779/SMPN3 KDR/2023,DEWINA SYIFA,BERANEKARAGAM HEWAN BERTUBUH LUNAK,SANDIARTA SUKSES,,2009,594,DEW,BER,DAK203,4,BAIK
11-05-2023,780-781/SMPN3 KDR/2023,LAILA NURHASANAH,MENGENAL PENGUKURAN,GRAHA BANDUNG KENCANA,BANDUNG,2009,516.1,LAI,MEN,DAK203,2,BAIK
11-05-2023,782-783/SMPN3 KDR/2023,DEWI ISMALIYAH,MENGENAL BANGUN RUANG,GRAHA BANDUNG KENCANA,BANDUNG,2009,516.23,DEW,MEN,DAK203,2,BAIK
12-05-2023,784-787/SMPN3 KDR/2023,"HERLINA RAHMAWATI,S.SI",MENGENAL LINGKUNGAN SEKITAR KITA,NOBEL EDUMEDIA,JAKARTA,2008,571.49,HER,MEN,DAK203,4,BAIK
12-05-2023,788-790/SMPN3 KDR/2023,REZA SAPUTRA,MENGENAL BILANGAN,GRAHA BANDUNG KENCANA,BANDUNG,2009,510,REZ,MEN,DAK203,3,BAIK
12-05-2023,791-795/SMPN3 KDR/2023,SATRIO A. YODHOYONO,BERANEKARAGAM IKAN AIR LAUT,SANDI ARTHA SUKSES,,2009,597,SAT,BER,DAK203,5,BAIK
12-05-2023,796-797/SMPN3 KDR/2023,JODY ANDREA,BERANEKA RAGAM REPTIL,SANDIARTA SUKSES,,2009,597.9,JOD,BER,DAK203,2,BAIK
12-05-2023,798-799/SMPN3 KDR/2023,SUKIMAN ,BERANEKARAGAM RAGAM AMFIBI,SANDIARTA SUKSES,,2009,597.6,SUK,BER,DAK203,2,BAIK
12-05-2023,800-803/SMPN3 KDR/2023,GHAIDA SHALIZ,BERANEKA RAGAM HEWAN BERONGGA DAN HEWAN BERKULIT DURI,SANDIARTA SUKSES,,2011,593.6,GHA,BER,DAK203,4,BAIK
12-05-2023,804-807/SMPN3 KDR/2023,"DWI NURMAYATI, DKK.",KEHIDUPAN MAMALIA LAUT 1,REMAJA ROSDAKARYA,BANDUNG,2004,599,DWI,KEH,DAK203,4,BAIK
12-05-2023,808-809/SMPN3 KDR/2023,RIYANA HS,KEUNIKAN SERANGGA,REMAJA ROSDAKARYA,BANDUNG,2002,595,RIY,KEU,DAK203,2,BAIK
12-05-2023,810-811/SMPN3 KDR/2023,ALYA NUR FAUZIH,MENYUSURI KEHIDUPAN PANTAI,REMAJA ROSDAKARYA,BANDUNG,2004,551.48,ALY,MEN,DAK203,2,BAIK
12-05-2023,812-813/SMPN3 KDR/2023,ARI WAHYU ARYANDI,MENJEELAJAH ALAM SEMESTA,SARANA PANCA KARYA NUSA,,2009,523.13,ARI,MEN,DAK203,2,BAIK
12-05-2023,814-815/SMPN3 KDR/2023,ALYA NUR FAUZIAH,KEHIDUPAN LAUT INDONESIA 1,REMAJA ROSDAKARYA,BANDUNG,2005,551.1,ALY,KEH,DAK203,2,BAIK
12-05-2023,816-817/SMPN3 KDR/2023,TIM PENULIS ROSDA,PRASEJARAH,REMAJA ROSDAKARYA ,BANDUNG,1996,573.3,TIM,PRA,DAK203,2,BAIK
12-05-2023,818-821/SMPN3 KDR/2023,RICHARD PLATT,SERI IDE CEMERLANG KESABARAN DAN PERENCANAAN,GRAFINDO MEDIA PRATAMA,PULOGADUNG,2003,570,RIC,SER,DAK203,4,BAIK
12-05-2023,822-824/SMPN3 KDR/2023,IMAM RAJASA,SERI MATEMATIKA UNTUK ANAK MENGENAL PECAHAN,GRAHA BANDUNG KENCANA,,2009,513.26,IMA,SER,DAK203,3,BAIK
12-05-2023,825-826/SMPN3 KDR/2023,RICHARD PLATT,SEKITAR KITA LENSA DAN CAHAYA,GRAFINDO MEDIA PRATAMA,PULOGADUNG,2003,510,RIC,RIC,DAK203,1,BAIK
12-05-2023,829-833/SMPN3 KDR/2023,BENI S.AMBARJAYA,MARI MENGENAL BUMI,GRAFINDO MEDIA PRATAMA,BANDUNG,2007,550,BEN,MAR,DAK203,5,BAIK
12-05-2023,834-836/SMPN3 KDR/2023,"DRS. SUHARDI, M.PD",MEDIA PENDIDIKAN BIOLOGI AVERTEBRATA,WIDYA DUTA GRAFIKA,JAKARTA,2006,592,SUH,MED,DAK203,3,BAIK
12-05-2023,837-838/SMPN3 KDR/2023,SITI ROCHANI,BUDIDAYA IKAN DI PEKARANGAN,AZKA PRESS,JAKARTA,2006,591,SIT,BUD,DAK203,2,BAIK
12-05-2023,839-840/SMPN3 KDR/2023,W. TUSWANTO,PERCOBAAN TERHADAP AIR,MEGAH JAYA,,2012,553.7,TUS,PER,DAK203,2,BAIK
12-05-2023,841-842/SMPN3 KDR/2023,"L.COLVIN, E. SPEARE",ALAM SEKITAR KITA,GADING INTI PRIMA,JAKARTA,2009,523.1,COL,ALA,DAK203,2,BAIK
12-05-2023,843-844/SMPN3 KDR/2023,KUSNO WALUYO,BUDIDAYA ANGGUR,EPSILON GRUP,BANDUNG,2008,581,KUS,BUD,DAK203,2,BAIK
12-05-2023,845-846/SMPN3 KDR/2023,IYAM,PEMELIHARAN TERUMBU KARANG,TITIAN ILMU,BANDUNG,2006,580,IYA,PEM ,DAK203,2,BAIK
12-05-2023,847-848/SMPN3 KDR/2023,KANDI,MENGKUDU YANG MULTIGUNA,JASA GRAFIKA INDONESIA,BANDUNG,2007,581.8,KAN,MEN,DAK203,2,BAIK
12-05-2023,849-850/SMPN3 KDR/2023,SUPARMAN,BUDIDAYA TERPADU HEWAN DAN TUMBUHAN,GANECA EXACT,DEMAK,2006,591.1,SUP,BUD,DAK203,2,BAIK
12-05-2023,851-852/SMPN3 KDR/2023,MEIDIANA FRIKASARI,EFEK RUMAH KACA BAGI BUMI,AZKA MULIA MEDIA,JAKARTA,2006,551.8,MEI,EFE,DAK203,2,BAIK
12-05-2023,853-854/SMPN3 KDR/2023,TANTI SETIAWATI,SERI KESEHATAN MENGENAL JAHE DAN KHASIATNYA,KARYA MANDIRI PRATAMA,JAKARTA,,581,TAN,SER,DAK203,2,BAIK
12-05-2023,855-856/SMPN3 KDR/2023,GINA F. HAZAIRIN,TEKNIK PEMBENTUKAN DAN PERAWATAN BONSAI,VISINDO MEDIA PERSADA,JAKARTA,2009,581.1,GIN,TEK,DAK203,2,BAIK
12-05-2023,857-858/SMPN3 KDR/2023,TOTO SUBROTO,BUDIDAYA DAN PENYULINGAN MINYAK NILAM,PRIBUMI MEKAR,BANDUNG,2007,581.9,TOT,BUD,DAK203,2,BAIK
12-05-2023,859-860/SMPN3 KDR/2023,"B. FARIZ J.M. MISBAH, S.PD",AYO BERKEBUN,KIARA ALIFIANI,JAKARTA,2008,581,FAR,AYO,DAK203,2,BAIK
12-05-2023,861-862/SMPN3 KDR/2023,HENDRAWATI,MENGENAL MOLUSKA,INTIMEDIA CIPTANUSANTARA,JAKARTA,2013,594,HEN,MEN,DAK203,2,BAIK
12-05-2023,863-864/SMPN3 KDR/2023,ADRIAN R NUGRAHA,MENGENAL KEUNIKAN HEWAN,BINA MUDA CIPTA KREASI,DEPOK,2013,591,ADR,MEN,DAK203,2,BAIK
12-05-2023,865-867/SMPN3 KDR/2023,ALANNA FARADIANI,AYO MENGUKUR TINGGI,GRAHA ILMU MULIA,SURABAYA,2009,513,ALA,AYO,DAK203,3,BAIK
12-05-2023,868-869/SMPN3 KDR/2023,MUHAMMAD RAMDHAN ADI,BIOLOGIKU,SARANA PANCA KARYA NUSA,,2008,574,MUH,BIO,DAK203,2,BAIK
12-05-2023,870-871/SMPN3 KDR/2023,ESTER OEN OEN,CARA PRAKTIS BELAJAR SEMPOA SENDIRI PEMULA 2,WIDYA DUTA GRAFIKA,,2005,513,EST,CAR,DAK203,2,BAIK
12-05-2023,875-876/SMPN3 KDR/2023,NENO W.,"MANUSIA, MAKANAN, DAN TEMPAT TINGGAL",GADING INTI PRIMA,JAKARTA,2010,570,NEN,MAN,DAK203,2,BAIK
12-05-2023,877-878/SMPN3 KDR/2023,UMI HABIBAH,MEREKA YANG HAMPIR PUNAH,EMPAT PILAR PENDIDIKAN,YOGYAKARTA,2008,580,UMI,MER,DAK203,2,BAIK
13-05-2023,879-880/SMPN3 KDR/2023,DODY YULIANTO ,MENGENAL DUNIA SERANGGA,BINAMUDA CIPTAKREASI,DEPOK,2012,595,DOD,MEN,DAK203,2,BAIK
13-05-2023,881-882/SMPN3 KDR/2023,MUHAMMAD KHALID ZULFIKAR,FLORA YANG MENAKJUBKAN,HABSA JAYA,BANDUNG,2009,581.1,MUH,FLO,DAK203,2,BAIK
13-05-2023,883-888/SMPN3 KDR/2023,FAJAR M.N.,BAHAYA DAN PENCEGAHAN FLU BURUNG,MITRA UTAMA,BEKASI,2009,592,FAJ,BAH,DAK203,6,BAIK
13-05-2023,889-890/SMPN3 KDR/2023,AULIA PUTRI,BERANEKA RAGAM HEWAN BERBUKU-BUKU,SANDIARTA SUKSES,,2009,595,AUL,BER,DAK203,2,BAIK
13-05-2023,891-892/SMPN3 KDR/2023,LENI FITRIANI,MENJELAJAH DUNIA KUPU-KUPU,BINAMUDA CIPTAKREASI,DEPOK,2013,595,LEN,BIN,DAK203,2,BAIK
13-05-2023,893-897/SMPN3 KDR/2023,UMI HABIBAH,MEREKA YANG HAMPIR PUNAH 1,EMPAT PILAR PNDIDIKAN,YOGYAKARTA,2008,592,UMI,MER,DAK203,5,BAIK
13-05-2023,898-899/SMPN3 KDR/2023,EDI WARSIDI,"RUMPUT LAUT, RUMPUT HARAPAN",MITRA UTAMA,BEKASI,2009,581,EDI,RUM,DAK203,2,BAIK
13-05-2023,900-901/SMPN3 KDR/2023,AANG ATRORIDA,LINDUNGI KAMI,INTIMEDIA CIPTANUSANTARA,JAKARTA,2009,591,AAN,LIN,DAK203,2,BAIK
13-05-2023,902-904/SMPN3 KDR/2023,ARI WAHYU ARYANDI,DUNIA TUMBUHAN,SARANA PANCA KARYA NUSA,,2009,580,ARI,DUN,DAK203,3,BAIK
13-05-2023,905-906/SMPN3 KDR/2023,ARI WAHYU ARYANDI,TUBUH DAN LINGKUNGAN,SARANA  KARYA PANCA NUSA,,2009,571.5,ARI,TUB,DAK203,2,BAIK
13-05-2023,907-908/SMPN3 KDR/2023,"DEWI NURMAYATI,DKK.",KEHIDUPAN TUMBUHAN LAUT,REMAJA ROSDAKARYA,BANDUNG,2004,580,DEW,KEH,DAK203,2,BAIK
13-05-2023,909-910/SMPN3 KDR/2023,DEWI NURMAYATI,KEHIDUPAN MOLUSKA,REMAJA ROSDAKARYA,BANDUNG,2003,594,DEW,KEH,DAK203,2,BAIK
13-05-2023,911-912/SMPN3 KDR/2023,MIFTAHUL A.,PERCOBAAN TERHADAP UDARA DAN BUNYI,MEGAH JAYA,,2007,534.4,MIF,PER,DAK203,2,BAIK
13-05-2023,913-914/SMPN3 KDR/2023,ANDINI JULIANA,MENGENAL BANGUN DATAR,GRAHA BANDUNG KENCANA,BANDUNG,2009,510,AND,MEN,DAK203,2,BAIK
13-05-2023,915-916/SMPN3 KDR/2023,ANNA MARTINA,"AKU MAKIN TAHU TENTANG PLANET MERKURIUS VENUS, DAN MARS",BINA SUMBER DAYA MIPA,JAKARTA,2010,523.4,ANN,AKU,DAK203,2,BAIK
13-05-2023,917-918/SMPN3 KDR/2023,P.K. POERWANTANA,BUDI DAYA UDANG GALAH,AZKA PRESS,SEMARANG,2006,595,POE,BUD,DAK203,2,BAIK
13-05-2023,919-920/SMPN3 KDR/2023,ANNA MARTINA,AKU MAKIN TAHU TENTANG BUMI DAN IKLIMNYA,BINA SUMBER DAYA MIPA,JAKARTA,2010,551.1,ANN,AKU,DAK203,2,BAIK
13-05-2023,921-922/SMPN3 KDR/2023,DEWI NURMAYATI,MENYELAMI RAHASIA LAUT,REMAJA ROSDAKARYA,BANDUNG,2003,551.48,DEW,MEN,DAK203,2,BAIK
13-05-2023,923-924/SMPN3 KDR/2023,KEYLA NAZIRA,BERANEKA RAGAM IKAN AIR TAWAR,SANDIARTA SUKSES,,2009,595,KEY,BER,DAK203,2,BAIK
13-05-2023,925-927/SMPN3 KDR/2023,ALANNA FARADIANI,AYO MENGUKUR JARAK,GRAHA ILMU MULIA,SURABAYA,2009,513,ALA,AYO,DAK203,3,BAIK
13-05-2023,928-929/SMPN3 KDR/2023,SUMIYATI SA'ADAH,BAGAIMANA BINATANG BERKEMBANG BIAK,GANECA EXACT,JAKARTA,2006,595,SUM,BAG,DAK203,2,BAIK
13-05-2023,930-931/SMPN3 KDR/2023,M.GHUFRAN H.KORDI K,PEMELIHARAAN IKAN BANDENG,PERCA,JAKARTA,2007,595,GHU,PER,DAK203,2,BAIK
13-05-2023,932-933/SMPN3 KDR/2023,WAHYU DEWANTO,DUNIA BINATANG YANG MENGAGUMKAN,KARYA MANDIRI NUSANTARA,JAKARTA,2007,596,WAH,DUN,DAK203,2,BAIK
13-05-2023,934-935/SMPN3 KDR/2023,M.FIKKAR,MENGAMATI KEHIDUPAN IKAN,REMAJA ROSDAKARYA,BANDUNG,2006,590.7,FIKK,REM,DAK203,2,BAIK
13-05-2023,936-937/SMPN3 KDR/2023,M.HASBI,BERBAGAI CARA HEWAN MELESTARIKAN KETURUNANNYA,REMAJA ROSDAKARYA,BANDUNG,2005,590.7,HAS,BER,DAK203,2,BAIK
13-05-2023,938-940/SMPN3 KDR/2023,YAYAT PRIATI,PENGENALAN DINI OBAT ALAMI,PANCA ANUGRAH SAKTI,TANGERANG,2010,581,YAY,PEN,DAK203,3,BAIK
13-05-2023,941-943/SMPN3 KDR/2023,NICKYTA PRAMUDIA,PANDUAN PENDIDIKAN ANTI KORUPSI,ERLANGGA,,2014,500,NIC,PAN ,DAK203,3,BAIK
13-05-2023,944-945/SMPN3 KDR/2023,DANI HAMDANI,MENGENAL TANAMAN OBAT NUSANTARA,PANCA ANUGRAH SAKTI,BOGOR,2007,581,DAN,MEN,DAK203,2,BAIK
13-05-2023,946-947/SMPN3 KDR/2023,SUE NICHOLSON,INTI SARI ILMU DINOSAURUS,ERLANGGA,,2000,590,SUE,INT,DAK203,2,BAIK
13-05-2023,948-951/SMPN3 KDR/2023,JINNY JHONSON,INTI SARI ILMU MAMALIA,ERLANGGA,JAKARTA,2005,599,JIN,INT,DAK203,4,BAIK
13-05-2023,952-954/SMPN3 KDR/2023,SUSAN MEREDITH,MENGAPA AKU HARUS PEDULI PADA BUMI,ERLANGGA,JAKARTA,,550,SUS,MEN,DAK203,3,BAIK
13-05-2023,955-956/SMPN3 KDR/2023,ARI WAHYU ARYANDI,DUNIA HEWAN,SARANA PANCA KARYA NUSA,,2009,590.7,ARI,DUN,DAK203,2,BAIK
13-05-2023,957-958/SMPN3 KDR/2023,SUSI LAELAWATI,KANEKARAGAMAN HAYATI,PERCA,JAKARTA,2009,596,SUS,KAN,DAK203,3,BAIK
13-05-2023,959-960/SMPN3 KDR/2023,DANI HAMDANI,MENJELAJAH RUANG ANGKASA,PANCA ANUGRAH SAKTI,BOGOR,2007,500.5,DAN,MEN,DAK203,2,BAIK
13-05-2023,961-962/SMPN3 KDR/2023,KUSNO WALUYO,BUDIDAYA IKAN MASKOKI,EPSILON GRUP,BANDUNG,2008,581,KUS,BUD,DAK203,2,BAIK
13-05-2023,963-967/SMPN3 KDR/2023,TOTO SUBROTO,MAKHLUK HIDUP DAN LINGKUNGAANYA,PRIBUMI MEKAR,BANDUNG,2007,574.5,TOT,MAK,DAK203,5,BAIK
13-05-2023,968-969/SMPN3 KDR/2023,"WAHYUDI, DKK.",BETERNAK ITIK,AZKA PRESS,JAKARTA,2006,581,WAH,BET,DAK203,4,BAIK
13-05-2023,970-971/SMPN3 KDR/2023,"EKO PURWANINGSIH,S.PD",BUDIDAYA JAMUR,AZKA PRESS,,,581,EKO,BUD,DAK203,2,BAIK
13-05-2023,972-973/SMPN3 KDR/2023,KUSNO WALUYO,BUDIDAYA IKAN BELANAK & IKAN MAS,EPSILON GRUP,BANDUNG,2008,581,KUS,BUD,DAK203,2,BAIK
17-05-2023,974/SMPN3 KDR/2023,ALYA NUR FAUZIAH,KEHIDUPAN LAUT INDONESIA 2,REM AJA ROSDAKARYA,BANDUNG,2005,551.1,ALY,KEH,DAK203,1,BAIK
17-05-2023,975/SMPN3 KDR/2023,PURWOKO ADI SENO,MEWASPADAI GEMPA BUMI DAM STUNAMI,WIDYA DUTA GRAFIKA,,2010,551.2,PUR,MEW,DAK203,1,BAIK
17-05-2023,976/SMPN3 KDR/2023,FERLI ZULHENDRI,BENCANA ALAM BENCANA MANUSIA,KIARA ALIFIANI,TANGERANG,2008,551.2,FER,BEN,DAK203,1,BAIK
17-05-2023,977/SMPN3 KDR/2023,BENYAMIN LAKITAN,DASAR-DASAR FISIOLOGI TUMBUHAN,RAJA  GRAFINDO PERSADA,DEPOK,2018,581.1,BEN,DAS,DAK203,1,BAIK
17-05-2023,978/SMPN3 KDR/2023,FERLI SULHENDRI,HEWAN HEWAN LANGKA DI INDONESIA,KIARA ALIFIANI,JAKARTA,2008,591.1,FER,HEW,DAK203,1,BAIK
17-05-2023,979/SMPN3 KDR/2023,IR.M. HIDAYATUL MUTTAQIEN,PELUANG USAHA BUDIDAYA UDANG GALAH,TITIAN ILMU,BANDUNG,2009,595,HID,PEL,DAK203,1,BAIK
17-05-2023,980/SMPN3 KDR/2023,BENI S. AMBARJAYA,GEMPA BUMI : APA DAN BAGAIMANA ?,KARYA MANDIRI PRATAMA,JAKARTA,2007,551.22,BEN,GEM,DAK203,1,BAIK
17-05-2023,981/SMPN3 KDR/2023,NUNIK NURYATI,CUACA DAN MUSIM,PERMATA EQUATOR MEDIA,JAKARTA,2008,551.6,NUN,CUA,DAK203,1,BAIK
17-05-2023,982/SMPN3 KDR/2023,TEDY WIJAYA,"MEMAHAMI GELOMBANG, BUNYI, DAN CAHAYA",GRAHA BANDUNG KENCANA,,2009,530.1,TED,MEM,DAK203,1,BAIK
17-05-2023,983/SMPN3 KDR/2023,SOEDJONO DAN SUTARNO,MEMBUAT PEMANCAR SENDIRI,REMAJA ROSDAKARYA ,BANDUNG,1985,537.1,SOE,MEM,DAK203,1,BAIK
17-05-2023,984/SMPN3 KDR/2023,ISMAIL KUSUMAYADI,MENGENAL CENGKEH,KARYA MANDIRI PRATAMA,JAKARTA,2007,581,ISM,MEN,DAK203,1,BAIK
17-05-2023,985/SMPN3 KDR/2023,FAUZI YUSUF,PENGETAHUAN TENTANG SATWA,GRAHA BANDUNG KENCANA,BANDUNG,2007,590.7,FAU,PEN,DAK203,1,BAIK
17-05-2023,986/SMPN3 KDR/2023,BUDI SETYO WICAKSONO,BUDI DAYA TANAMAN OBAT,KARYA MANDIRI NUSANTARA,JAKARTA,2007,581.9,BUD,BUD,DAK203,1,BAIK
17-05-2023,987/SMPN3 KDR/2023,AMANI KIRANA,PENGETAHUAN TENTANG DINOSAURUS,GRAHA BANDING KENCANA,BANDUNG,2007,567.9,AMA,PEN,DAK203,1,BAIK
17-05-2023,988/SMPN3 KDR/2023,"SRI RAHMINI, S.PD",FISIKA CERIA SERI ENERGI LISTRIK,ARTHA RIVERA,JAKARTA,,537.6,SRI,FIS,DAK203,1,BAIK
17-05-2023,989/SMPN3 KDR/2023,"SRI RAHMINI, S.PD",FISIKA CERIA SERI MEKANIKA,ARTHA RIVERA,JAKARTA,,531,SRI,FIS,DAK203,1,BAIK
17-05-2023,990/SMPN3 KDR/2023,"SRI RAHMINI, S.PD",FISIKA CERIA SERI KALOR,ARTHA RIVERA,JAKARTA,,536.6,SRI,FIS,DAK203,1,BAIK
17-05-2023,991/SMPN3 KDR/2023,"DRA. INDRAWATI, DKK",MARI BELAJAR KIMIA 1,ARTHA RIVERA,JAKARTA,,541.3,IND,MAR,DAK203,1,BAIK
17-05-2023,992/SMPN3 KDR/2023,"DRA. INDRAWATI, DKK",MARI BELAJAR KIMIA 2,ARTHA RIVERA,JAKARTA,,541.4,IND,MAR,DAK203,1,BAIK
17-05-2023,993/SMPN3 KDR/2023,"DRA. INDRAWATI, DKK",MARI BELAJAR KIMIA 3,ARTHA RIVERA,JAKARTA,,541.5,IND,MAR,DAK203,1,BAIK
17-05-2023,994/SMPN3 KDR/2023,MEIDIANA FRIKA SARI,MEMAHAMI SAINS DARI ALAM GUNUNG,MITRA UTAMA ,BEKASI,2008,551.2,MEI,MEM,DAK203,1,BAIK
17-05-2023,995/SMPN3 KDR/2023,TINA DAN DINI,AKU INGIN MENJADI ASTRONOM,GLOBALINDO UNIVERSAL MULTIKREASI,BANDUNG,2006,520.92,TIN,AKU,DAK203,1,BAIK
22-05-2023,996/SMPN3 KDR/2023,AKHMAD ZAMRONI,SERI IPS (GEOGRAFI) MENGENAL BENUA,WIDYA DUTA GRAFIKA,BANDUNG,2008,551.41,AKH,SER,DAK203,1,BAIK
22-05-2023,997/SMPN3 KDR/2023,ANNO D.S. DA  ENUNG ELIAWATI,MENELUSURI PERKEMBANGAN TEKNOLOGI PENGOLAHAN ANGKA,SALAM PRIMA MEDIA,BANDUNG,2007,513,ANN,MEN,DAK203,1,BAIK
22-05-2023,998/SMPN3 KDR/2023,ENDAH KUSUMAWARDANI,UDARA DAN LINGKUNGAN,MEDIA KOMUNIKASI,,2007,577,END,UDA,DAK203,1,BAIK
22-05-2023,999/SMPN3 KDR/2023,ANIS DYAH RUFAEDA,PERUBAHAN PADA BENDA,PERMATA EQUATOR MEDIA,JAKARTA,2008,530.4,ANI,PER,DAK203,1,BAIK
22-05-2023,1000/SMPN3 KDR/2023,"DR. ASEP SUPRIATNA,M.SI",FISIKA DALAM KEHIDUPAN KITA,CV IPA ABONG,JAKARTA,2007,530,ASE,FIS,DAK203,1,BAIK
